"","Title","Developer","Publisher","Region","Release","Date","Month","Year","System","Generation"
"1554","Puzzle'n Desu!","Nichibutsu","Nichibutsu","Japan","April 14, 1995",1995-04-14,4,1995,"SNES","4th"
"1555","Q*bert 3","Realtime Associates","NTVIC","Japan","January 29, 1993",1993-01-29,1,1993,"SNES","4th"
"1556","Q*bert 3","Realtime Associates","NTVIC","North_America","October 1, 1992",1992-10-01,10,1992,"SNES","4th"
"1557","R-Type III: The Third Lightning","Tamtex","Irem (JP/EU) / Jaleco (NA)","Japan","December 10, 1993",1993-12-10,12,1993,"SNES","4th"
"1558","R-Type III: The Third Lightning","Tamtex","Irem (JP/EU) / Jaleco (NA)","North_America","October 1994",NA,10,1994,"SNES","4th"
"1559","R-Type III: The Third Lightning","Tamtex","Irem (JP/EU) / Jaleco (NA)","PAL","1994",NA,NA,1994,"SNES","4th"
"1560","Race Drivin'","Imagineering","THQ","North_America","July 10, 1992",1992-07-10,7,1992,"SNES","4th"
"1561","Race Drivin'","Imagineering","THQ","PAL","October 1, 1992",1992-10-01,10,1992,"SNES","4th"
"1562","Radical Rex","Laser Beam Entertainment","Activision","North_America","October 1994",NA,10,1994,"SNES","4th"
"1563","Radical Rex","Laser Beam Entertainment","Activision","PAL","September 1994",NA,9,1994,"SNES","4th"
"1564","Raiden Trad / Raiden Densetsu (JP)","Seibu Kaihatsu/Toei Company/Micronics","Electro Brain","Japan","November 29, 1991",1991-11-29,11,1991,"SNES","4th"
"1565","Raiden Trad / Raiden Densetsu (JP)","Seibu Kaihatsu/Toei Company/Micronics","Electro Brain","North_America","April 1, 1992",1992-04-01,4,1992,"SNES","4th"
"1566","Rampart","Bitmasters","Electronic Arts","North_America","August 1, 1992",1992-08-01,8,1992,"SNES","4th"
"1567","Ranma ½: Akaneko-dan teki Hihou",NA,"Toho","Japan","October 22, 1993",1993-10-22,10,1993,"SNES","4th"
"1568","Ranma ½: Chougi Rambuhen","Atelier Double","Shogakukan","Japan","April 28, 1994",1994-04-28,4,1994,"SNES","4th"
"1569","Ranma ½: Hard Battle / Ranma ½EU / Ranma Nibun-no-Ichi: Bakuretsu Rantohen (JP)","Atelier Double","DTMC","Japan","December 25, 1992",1992-12-25,12,1992,"SNES","4th"
"1570","Ranma ½: Hard Battle / Ranma ½EU / Ranma Nibun-no-Ichi: Bakuretsu Rantohen (JP)","Atelier Double","DTMC","North_America","November 1993",NA,11,1993,"SNES","4th"
"1571","Ranma ½: Hard Battle / Ranma ½EU / Ranma Nibun-no-Ichi: Bakuretsu Rantohen (JP)","Atelier Double","DTMC","PAL","November 12, 1993",1993-11-12,11,1993,"SNES","4th"
"1572","Ranma ½: Ougi Jaanken","Atelier Double","Shogakukan","Japan","July 21, 1995",1995-07-21,7,1995,"SNES","4th"
"1573","Rap Jam: Volume One","64WD Creation","Motown Software","North_America","January 1995",NA,1,1995,"SNES","4th"
"1574","Realm","Titus Software","Titus Software","North_America","December 1996",NA,12,1996,"SNES","4th"
"1575","Realm","Titus Software","Titus Software","PAL","February 27, 1996",1996-02-27,2,1996,"SNES","4th"
"1576","Red Riding Hood Chacha","Landwarf","TOMY","Japan","August 9, 1996",1996-08-09,8,1996,"SNES","4th"
"1577","Redline F-1 Racer / Aguri Suzuki F-1 Super Driving (EU) / Suzuki Aguri no F-1 Super Driving (JP)","Genki","LOZC G. Amusements (JP) / Absolute Entertainment (NA) / Altron (EU)","Japan","July 14, 1993",1993-07-14,7,1993,"SNES","4th"
"1578","Redline F-1 Racer / Aguri Suzuki F-1 Super Driving (EU) / Suzuki Aguri no F-1 Super Driving (JP)","Genki","LOZC G. Amusements (JP) / Absolute Entertainment (NA) / Altron (EU)","North_America","September 1993",NA,9,1993,"SNES","4th"
"1579","Redline F-1 Racer / Aguri Suzuki F-1 Super Driving (EU) / Suzuki Aguri no F-1 Super Driving (JP)","Genki","LOZC G. Amusements (JP) / Absolute Entertainment (NA) / Altron (EU)","PAL","1993",NA,NA,1993,"SNES","4th"
"1580","Rejoice: Aretha Okoku no Kanata","Japan Art Media","Yanoman","Japan","April 21, 1995",1995-04-21,4,1995,"SNES","4th"
"1581","Relief Pitcher","Eastridge Technology","Left Field Entertainment","North_America","May 1994",NA,5,1994,"SNES","4th"
"1582","Rendering Ranger: R2","Rainbow Arts","Virgin Interactive","Japan","November 17, 1995",1995-11-17,11,1995,"SNES","4th"
"1583","Res Arcana: Diana Ray: Uranai no Meikyuu","Marionette","Coconuts Japan","Japan","April 14, 1995",1995-04-14,4,1995,"SNES","4th"
"1584","Revolution X","Software Creations","Acclaim Entertainment","Japan","March 1, 1996",1996-03-01,3,1996,"SNES","4th"
"1585","Revolution X","Software Creations","Acclaim Entertainment","North_America","December 1995",NA,12,1995,"SNES","4th"
"1586","Revolution X","Software Creations","Acclaim Entertainment","PAL","1995",NA,NA,1995,"SNES","4th"
"1587","Rex Ronan: Experimental Surgeon","Sculptured Software","Raya Systems","North_America","May 1994",NA,5,1994,"SNES","4th"
"1588","Riddick Bowe Boxing / Chavez (MX) / Ridikku Bou Bokushingu (JP)","Malibu Interactive","Extreme Entertainment Group","Japan","November 23, 1993",1993-11-23,11,1993,"SNES","4th"
"1589","Riddick Bowe Boxing / Chavez (MX) / Ridikku Bou Bokushingu (JP)","Malibu Interactive","Extreme Entertainment Group","North_America","January 1994",NA,1,1994,"SNES","4th"
"1590","Ring ni Kakero","Earthly Soft","Masaya","Japan","June 1, 1998",1998-06-01,6,1998,"SNES","4th"
"1591","Rise of the Phoenix / Kouryuuki (JP)","Koei","Koei","Japan","April 6, 1994",1994-04-06,4,1994,"SNES","4th"
"1592","Rise of the Phoenix / Kouryuuki (JP)","Koei","Koei","North_America","February 1995",NA,2,1995,"SNES","4th"
"1593","Rise of the Robots","Mirage / T&E Soft","Acclaim Entertainment","Japan","December 22, 1994",1994-12-22,12,1994,"SNES","4th"
"1594","Rise of the Robots","Mirage / T&E Soft","Acclaim Entertainment","North_America","December 1994",NA,12,1994,"SNES","4th"
"1595","Rise of the Robots","Mirage / T&E Soft","Acclaim Entertainment","PAL","January 1995",NA,1,1995,"SNES","4th"
"1596","Rival Turf! / Rushing Beat (JP)","Jaleco","Jaleco","Japan","March 27, 1992",1992-03-27,3,1992,"SNES","4th"
"1597","Rival Turf! / Rushing Beat (JP)","Jaleco","Jaleco","North_America","December 23, 1992",1992-12-23,12,1992,"SNES","4th"
"1598","Rival Turf! / Rushing Beat (JP)","Jaleco","Jaleco","PAL","1993",NA,NA,1993,"SNES","4th"
"1599","Road Riot 4WD","Equilibrium","THQ","North_America","November 1, 1992",1992-11-01,11,1992,"SNES","4th"
"1600","Road Riot 4WD","Equilibrium","THQ","PAL","1992",NA,NA,1992,"SNES","4th"
"1601","Road Runner's Death Valley Rally / Looney Tunes: Road Runner (EU) / Road Runner vs. Wile E. Coyote (JP)","ICOM Simulations","Sunsoft","Japan","December 22, 1992",1992-12-22,12,1992,"SNES","4th"
"1602","Road Runner's Death Valley Rally / Looney Tunes: Road Runner (EU) / Road Runner vs. Wile E. Coyote (JP)","ICOM Simulations","Sunsoft","North_America","November 1, 1992",1992-11-01,11,1992,"SNES","4th"
"1603","Road Runner's Death Valley Rally / Looney Tunes: Road Runner (EU) / Road Runner vs. Wile E. Coyote (JP)","ICOM Simulations","Sunsoft","PAL","September 30, 1993",1993-09-30,9,1993,"SNES","4th"
"1604","RoboCop 3","Ocean Software","Ocean Software","North_America","September 1, 1992",1992-09-01,9,1992,"SNES","4th"
"1605","RoboCop 3","Ocean Software","Ocean Software","PAL","November 1992",NA,11,1992,"SNES","4th"
"1606","RoboCop Versus The Terminator","Interplay Entertainment","Virgin Interactive","North_America","November 1993",NA,11,1993,"SNES","4th"
"1607","RoboCop Versus The Terminator","Interplay Entertainment","Virgin Interactive","PAL","August 24, 1993",1993-08-24,8,1993,"SNES","4th"
"1608","Robotrek / Slap Stick (JP)","Quintet","Enix","Japan","July 8, 1994",1994-07-08,7,1994,"SNES","4th"
"1609","Robotrek / Slap Stick (JP)","Quintet","Enix","North_America","October 1, 1994",1994-10-01,10,1994,"SNES","4th"
"1610","Rock n' Roll Racing","Silicon & Synapse","Interplay Entertainment","Japan","January 3, 1994",1994-01-03,1,1994,"SNES","4th"
"1611","Rock n' Roll Racing","Silicon & Synapse","Interplay Entertainment","North_America","June 4, 1993",1993-06-04,6,1993,"SNES","4th"
"1612","Rock n' Roll Racing","Silicon & Synapse","Interplay Entertainment","PAL","March 31, 1994",1994-03-31,3,1994,"SNES","4th"
"1613","Rockman & Forte","Capcom","Capcom","Japan","April 24, 1998",1998-04-24,4,1998,"SNES","4th"
"1614","Rocko's Modern Life: Spunky's Dangerous Day","Viacom New Media","Viacom New Media","North_America","April 1, 1994",1994-04-01,4,1994,"SNES","4th"
"1615","Rocky Rodent / Nitropunks: Mightheads (JP)","Irem","Irem","Japan","July 30, 1993",1993-07-30,7,1993,"SNES","4th"
"1616","Rocky Rodent / Nitropunks: Mightheads (JP)","Irem","Irem","North_America","September 18, 1993",1993-09-18,9,1993,"SNES","4th"
"1617","Roger Clemens' MVP Baseball / MVP Baseball (JP)","Sculptured Software","LJN","Japan","August 27, 1992",1992-08-27,8,1992,"SNES","4th"
"1618","Roger Clemens' MVP Baseball / MVP Baseball (JP)","Sculptured Software","LJN","North_America","September 12, 1992",1992-09-12,9,1992,"SNES","4th"
"1619","Rokudenashi Blues: Taiketsu! Tokyo Shitennou","Tose","Bandai","Japan","April 15, 1994",1994-04-15,4,1994,"SNES","4th"
"1620","Romance of the Three Kingdoms II / Super Sangokushi IIJP","Koei","Koei","Japan","September 15, 1991",1991-09-15,9,1991,"SNES","4th"
"1621","Romance of the Three Kingdoms II / Super Sangokushi IIJP","Koei","Koei","North_America","May 1, 1992",1992-05-01,5,1992,"SNES","4th"
"1622","Romance of the Three Kingdoms III: Dragon of Destiny / Sangokushi IIIJP","Koei","Koei","Japan","November 8, 1992",1992-11-08,11,1992,"SNES","4th"
"1623","Romance of the Three Kingdoms III: Dragon of Destiny / Sangokushi IIIJP","Koei","Koei","North_America","December 1993",NA,12,1993,"SNES","4th"
"1624","Romance of the Three Kingdoms IV: Wall of Fire / Sangokushi IVJP","Koei","Koei","Japan","December 9, 1994",1994-12-09,12,1994,"SNES","4th"
"1625","Romance of the Three Kingdoms IV: Wall of Fire / Sangokushi IVJP","Koei","Koei","North_America","July 1, 1995",1995-07-01,7,1995,"SNES","4th"
"1626","Romancing SaGa","Square","Square","Japan","January 28, 1992",1992-01-28,1,1992,"SNES","4th"
"1627","Romancing SaGa 2","Square","Square","Japan","December 10, 1993",1993-12-10,12,1993,"SNES","4th"
"1628","Romancing SaGa 3","Square","Square","Japan","November 11, 1995",1995-11-11,11,1995,"SNES","4th"
"1629","RPG Tsukuru: Super Dante","Kuusou Kagaku","ASCII","Japan","March 31, 1995",1995-03-31,3,1995,"SNES","4th"
"1630","RPG Tsukuuru 2","Kuusou Kagaku","ASCII","Japan","January 31, 1996",1996-01-31,1,1996,"SNES","4th"
"1631","RPM Racing","Silicon & Synapse","Interplay Entertainment","Japan","March 19, 1992",1992-03-19,3,1992,"SNES","4th"
"1632","RPM Racing","Silicon & Synapse","Interplay Entertainment","North_America","November 1, 1991",1991-11-01,11,1991,"SNES","4th"
"1633","Rudra no Hiho","Square","Square","Japan","April 5, 1996",1996-04-05,4,1996,"SNES","4th"
"1634","Ruin Arm","Tose","Bandai","Japan","June 23, 1995",1995-06-23,6,1995,"SNES","4th"
"1635","Run Saber","Hori Electric","Atlus","North_America","June 8, 1993",1993-06-08,6,1993,"SNES","4th"
"1636","Run Saber","Hori Electric","Atlus","PAL","1993",NA,NA,1993,"SNES","4th"
"1637","Ryuukihei Dan Danzarubu","Pandora Box","Yutaka","Japan","April 23, 1993",1993-04-23,4,1993,"SNES","4th"
"1638","Ryuuko no Ken 2","Monolith Corporation","Saurus","Japan","December 21, 1994",1994-12-21,12,1994,"SNES","4th"
"1639","Saibara Rieko no Mahjong Hourouki","Natsume","Taito","Japan","February 10, 1995",1995-02-10,2,1995,"SNES","4th"
"1640","Saikousoku Shikou Shougi Mahjong",NA,"Varie","Japan","March 31, 1995",1995-03-31,3,1995,"SNES","4th"
"1641","Saikyou: Takada Nobuhiko","Dual","Hudson Soft","Japan","December 27, 1995",1995-12-27,12,1995,"SNES","4th"
"1642","Sailor Moon / Bishoujo Senshi Sailor Moon (JP)","Angel","Bandai","Japan","August 27, 1993",1993-08-27,8,1993,"SNES","4th"
"1643","Sailor Moon / Bishoujo Senshi Sailor Moon (JP)","Angel","Bandai","PAL","1994",NA,NA,1994,"SNES","4th"
"1644","Sakurai Shouichi no Jankiryuu: Mahjong Hisshouhou","J-Force","Sammy Studios","Japan","September 14, 1995",1995-09-14,9,1995,"SNES","4th"
"1645","Same Game","Hudson Soft","Hudson Soft","Japan","March 1, 1996",1996-03-01,3,1996,"SNES","4th"
"1646","Same Game - Mario Version","Hudson Soft","Nintendo","Japan","1995",NA,NA,1995,"SNES","4th"
"1647","Same Game + Tengai Makyou Zero Jikei","Hudson Soft","Hudson Soft","Japan","March 1, 1996",1996-03-01,3,1996,"SNES","4th"
"1648","Samurai Shodown / Samurai Spirits (JP)","Takara","Takara","Japan","September 22, 1994",1994-09-22,9,1994,"SNES","4th"
"1649","Samurai Shodown / Samurai Spirits (JP)","Takara","Takara","North_America","November 1994",NA,11,1994,"SNES","4th"
"1650","Samurai Shodown / Samurai Spirits (JP)","Takara","Takara","PAL","1994",NA,NA,1994,"SNES","4th"
"1651","Sangokushi Eiketsuden",NA,"Koei","Japan","December 28, 1995",1995-12-28,12,1995,"SNES","4th"
"1652","Sangokushi Seishi: Tenbu Spirits","Wolf Team","Wolf Team","Japan","June 25, 1994",1994-06-25,6,1994,"SNES","4th"
"1653","Sankyo Fever! Fever!",NA,"Nippon Telenet","Japan","October 28, 1994",1994-10-28,10,1994,"SNES","4th"
"1654","Sanrio Shanghai","SAS Sakata","Character Soft","Japan","August 31, 1994",1994-08-31,8,1994,"SNES","4th"
"1655","Sanrio World Smash Ball!","Tomcat System","Character Soft","Japan","July 16, 1993",1993-07-16,7,1993,"SNES","4th"
"1656","Sansara Naga 2",NA,"Victor Interactive Software","Japan","July 15, 1994",1994-07-15,7,1994,"SNES","4th"
"1657","Saturday Night Slam Masters / Muscle Bomber (JP)","Capcom","Capcom","Japan","March 30, 1994",1994-03-30,3,1994,"SNES","4th"
"1658","Saturday Night Slam Masters / Muscle Bomber (JP)","Capcom","Capcom","North_America","June 1994",NA,6,1994,"SNES","4th"
"1659","Saturday Night Slam Masters / Muscle Bomber (JP)","Capcom","Capcom","PAL","September 1994",NA,9,1994,"SNES","4th"
"1660","Scooby-Doo Mystery","Argonaut Games","Acclaim Entertainment / Sunsoft","North_America","November 1995",NA,11,1995,"SNES","4th"
"1661","SD F-1 Grand Prix","Video System","Video System","Japan","October 27, 1995",1995-10-27,10,1995,"SNES","4th"
"1662","SD Gundam G Next","Japan Art Media","Bandai","Japan","December 22, 1995",1995-12-22,12,1995,"SNES","4th"
"1663","SD Gundam Gaiden 2: Entaku no Kishi","Tose","Yutaka","Japan","December 18, 1992",1992-12-18,12,1992,"SNES","4th"
"1664","SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan","Tose","Angel","Japan","December 21, 1991",1991-12-21,12,1991,"SNES","4th"
"1665","SD Gundam GX","BEC","Bandai","Japan","May 27, 1994",1994-05-27,5,1994,"SNES","4th"
"1666","SD Gundam Power Formation Puzzle","Tom Create","Bandai","Japan","January 26, 1996",1996-01-26,1,1996,"SNES","4th"
"1667","SD Gundam X","BEC","Yutaka","Japan","September 18, 1992",1992-09-18,9,1992,"SNES","4th"
"1668","SD Hiryuu no Ken",NA,"Culture Brain","Japan","June 17, 1994",1994-06-17,6,1994,"SNES","4th"
"1669","SD Kidou Senshi Gundam 2","Tose","Angel","Japan","September 23, 1993",1993-09-23,9,1993,"SNES","4th"
"1670","SD Kidou Senshi Gundam: V Sakusen Shidou","Tose","Angel","Japan","September 12, 1992",1992-09-12,9,1992,"SNES","4th"
"1671","SD The Great Battle","Banpresto","Banpresto","Japan","December 29, 1990",1990-12-29,12,1990,"SNES","4th"
"1672","SeaQuest DSV","Sculptured Software","Malibu Games","North_America","January 1995",NA,1,1995,"SNES","4th"
"1673","SeaQuest DSV","Sculptured Software","Malibu Games","PAL","July 27, 1995",1995-07-27,7,1995,"SNES","4th"
"1674","Secret of Evermore","Square","Square","North_America","October 1, 1995",1995-10-01,10,1995,"SNES","4th"
"1675","Secret of Evermore","Square","Square","PAL","February 22, 1995",1995-02-22,2,1995,"SNES","4th"
"1676","Secret of Mana / Seiken Densetsu 2JP","Square","Square (JP/NA) / Nintendo (EU)","Japan","August 6, 1993",1993-08-06,8,1993,"SNES","4th"
"1677","Secret of Mana / Seiken Densetsu 2JP","Square","Square (JP/NA) / Nintendo (EU)","North_America","October 3, 1993",1993-10-03,10,1993,"SNES","4th"
"1678","Secret of Mana / Seiken Densetsu 2JP","Square","Square (JP/NA) / Nintendo (EU)","PAL","November 24, 1994",1994-11-24,11,1994,"SNES","4th"
"1679","Secret of the Stars / Aqutallion (JP)","Tecmo","Tecmo","Japan","November 5, 1993",1993-11-05,11,1993,"SNES","4th"
"1680","Secret of the Stars / Aqutallion (JP)","Tecmo","Tecmo","North_America","July 1995",NA,7,1995,"SNES","4th"
"1681","Seifuku Densetsu: Pretty Fighter",NA,"Imagineer Co., Ltd.","Japan","December 2, 1994",1994-12-02,12,1994,"SNES","4th"
"1682","Seijuu Maden: Beasts & Blades",NA,"Bullet-Proof Software","Japan","December 15, 1995",1995-12-15,12,1995,"SNES","4th"
"1683","Sengoku Denshou / Sengoku (NA)",NA,"Data East","Japan","September 19, 1993",1993-09-19,9,1993,"SNES","4th"
"1684","Sengoku no Hasha","Bits Laboratory","Banpresto","Japan","December 22, 1995",1995-12-22,12,1995,"SNES","4th"
"1685","Sensible Soccer: European Champions / Championship Soccer '94NA","Sensible Software","Sony Imagesoft","North_America","June 3, 1994",1994-06-03,6,1994,"SNES","4th"
"1686","Sensible Soccer: European Champions / Championship Soccer '94NA","Sensible Software","Sony Imagesoft","PAL","February 1994",NA,2,1994,"SNES","4th"
"1687","Sgt. Saunders' Combat!","Play Avenue  Chickenhead","ASCII Corporation","Japan","September 29, 1995",1995-09-29,9,1995,"SNES","4th"
"1688","Shadowrun","Beam Software","Data East","Japan","March 25, 1994",1994-03-25,3,1994,"SNES","4th"
"1689","Shadowrun","Beam Software","Data East","North_America","May 1, 1993",1993-05-01,5,1993,"SNES","4th"
"1690","Shadowrun","Beam Software","Data East","PAL","August 1993",NA,8,1993,"SNES","4th"
"1691","Shanghai II: Dragon's Eye / Super Shanghai: Dragon's Eye (JP)","Hot-B","Activision","Japan","April 28, 1992",1992-04-28,4,1992,"SNES","4th"
"1692","Shanghai II: Dragon's Eye / Super Shanghai: Dragon's Eye (JP)","Hot-B","Activision","North_America","February 1993",NA,2,1993,"SNES","4th"
"1693","Shanghai II: Dragon's Eye / Super Shanghai: Dragon's Eye (JP)","Hot-B","Activision","PAL","1993",NA,NA,1993,"SNES","4th"
"1694","Shanghai III","Kuusou Kagaku","Sunsoft","Japan","September 15, 1994",1994-09-15,9,1994,"SNES","4th"
"1695","Shanghai: Banri no Choujou","Kuusou Kagaku","Sunsoft","Japan","November 17, 1995",1995-11-17,11,1995,"SNES","4th"
"1696","Shaq Fu","Delphine Software International","Electronic Arts","North_America","October 28, 1994",1994-10-28,10,1994,"SNES","4th"
"1697","Shaq Fu","Delphine Software International","Electronic Arts","PAL","1994",NA,NA,1994,"SNES","4th"
"1698","Shien's Revenge / Shien: The Blade Chaser (JP)","Almanic","Vic Tokai","Japan","April 8, 1994",1994-04-08,4,1994,"SNES","4th"
"1699","Shien's Revenge / Shien: The Blade Chaser (JP)","Almanic","Vic Tokai","North_America","October 1994",NA,10,1994,"SNES","4th"
"1700","Shigetaka Kashiwagi's Top Water Bassing","Imagesoft","VAP","Japan","February 17, 1995",1995-02-17,2,1995,"SNES","4th"
"1701","Shijou Saikyou League Serie A: Ace Striker",NA,"TNN","Japan","March 31, 1995",1995-03-31,3,1995,"SNES","4th"
"1702","Shijou Saikyou no Quiz Ou Ketteisen Super","ISCO","Yonezawa PR21","Japan","December 28, 1992",1992-12-28,12,1992,"SNES","4th"
"1703","Shiki Eiyuuden",NA,"Outrigger Koubou","Japan","July 7, 1995",1995-07-07,7,1995,"SNES","4th"
"1704","Shimono Masaki no Fishing to Bassing","Natsume","Natsume","Japan","October 16, 1994",1994-10-16,10,1994,"SNES","4th"
"1705","Shin Ikkaku Senkin","Jorudan","VAP","Japan","July 7, 1995",1995-07-07,7,1995,"SNES","4th"
"1706","Shin Majan",NA,"Konami","Japan","March 30, 1994",1994-03-30,3,1994,"SNES","4th"
"1707","Shin Megami Tensei","Atlus","Atlus","Japan","October 30, 1992",1992-10-30,10,1992,"SNES","4th"
"1708","Shin Megami Tensei if...","Atlus","Atlus","Japan","October 28, 1994",1994-10-28,10,1994,"SNES","4th"
"1709","Shin Megami Tensei II","Atlus","Atlus","Japan","March 18, 1994",1994-03-18,3,1994,"SNES","4th"
"1710","Shin Momotarou Densetsu",NA,"Hudson Soft","Japan","December 24, 1993",1993-12-24,12,1993,"SNES","4th"
"1711","Shin Naki no Ryu: Mahjong Hisho-den",NA,"BEC","Japan","October 27, 1995",1995-10-27,10,1995,"SNES","4th"
"1712","Shin Nekketsu Koha: Kunio-tachi no Banka","Almanic","Technos Japan","Japan","April 29, 1994",1994-04-29,4,1994,"SNES","4th"
"1713","Shin Nippon Pro Wrestling '94: Battlefield in Tokyo Dome",NA,"Varie","Japan","August 12, 1994",1994-08-12,8,1994,"SNES","4th"
"1714","Shin Nippon Pro Wrestling '95: Tokyo Dome Battle 7",NA,"Varie","Japan","June 30, 1995",1995-06-30,6,1995,"SNES","4th"
"1715","Shin Nippon Pro Wrestling: Chou Senshi in Tokyo Dome",NA,"Varie","Japan","September 14, 1993",1993-09-14,9,1993,"SNES","4th"
"1716","Shin SD Sengokuden: Taishou Gun Retsuden","BEC","BEC","Japan","April 21, 1995",1995-04-21,4,1995,"SNES","4th"
"1717","Shin Seikoku: La Wares","J-Force","Yutaka","Japan","April 21, 1995",1995-04-21,4,1995,"SNES","4th"
"1718","Shin Shougi Club","Natsu System","Hect","Japan","September 22, 1995",1995-09-22,9,1995,"SNES","4th"
"1719","Shin Togenkyo",NA,"Banpresto","Japan","September 22, 1995",1995-09-22,9,1995,"SNES","4th"
"1720","Shinseiki Odysselya","Vic Tokai","Vic Tokai","Japan","June 18, 1993",1993-06-18,6,1993,"SNES","4th"
"1721","Shinseiki Odysselya II","Vic Tokai","Vic Tokai","Japan","October 6, 1995",1995-10-06,10,1995,"SNES","4th"
"1722","Shinzui Taikyoku Igo: Go Sennin","Jorudan","J-Wing","Japan","June 2, 1995",1995-06-02,6,1995,"SNES","4th"
"1723","Shiroi Ringu he","Opera House","Pony Canyon","Japan","October 27, 1995",1995-10-27,10,1995,"SNES","4th"
"1724","Shodai Nekketsu Kouha Kunio-kun","Technos Japan","Technos Japan","Japan","August 7, 1992",1992-08-07,8,1992,"SNES","4th"
"1725","Shodan Morita Shougi",NA,"SETA","Japan","August 23, 1991",1991-08-23,8,1991,"SNES","4th"
"1726","Shodankurai Nintei: Shodan Pro Mahjong","Khaos","Gaps","Japan","April 28, 1995",1995-04-28,4,1995,"SNES","4th"
"1727","Shougi Club","Natsu System","Hect","Japan","February 24, 1995",1995-02-24,2,1995,"SNES","4th"
"1728","Shougi Saikyou",NA,"Magical Company","Japan","July 21, 1995",1995-07-21,7,1995,"SNES","4th"
"1729","Shougi Saikyou 2: Jissen Taikyoku Hen",NA,"Magical Company","Japan","February 9, 1996",1996-02-09,2,1996,"SNES","4th"
"1730","Shougi Sanmai",NA,"Virgin Interactive","Japan","December 22, 1995",1995-12-22,12,1995,"SNES","4th"
"1731","Shougi: Fuurinkazan",NA,"Pony Canyon","Japan","October 29, 1993",1993-10-29,10,1993,"SNES","4th"
"1732","Shounen Ashibe","Nova Games","Takara","Japan","December 22, 1992",1992-12-22,12,1992,"SNES","4th"
"1733","Shounen Ninja Sasuke",NA,"Sunsoft","Japan","October 28, 1994",1994-10-28,10,1994,"SNES","4th"
"1734","Shounin yo Taishi wo Idake!!","AIM","Bandai","Japan","December 15, 1995",1995-12-15,12,1995,"SNES","4th"
"1735","Shutokou Battle '94 Keichii Tsuchiya Drift King","Genki","Bullet-Proof Software","Japan","May 27, 1994",1994-05-27,5,1994,"SNES","4th"
"1736","Shutokou Battle 2: Drift King Keichii Tsuchiya & Masaaki Bandoh","Genki","Bullet-Proof Software","Japan","February 24, 1995",1995-02-24,2,1995,"SNES","4th"
"1737","Shuushoku Game","Lenar","Imagineer","Japan","July 28, 1995",1995-07-28,7,1995,"SNES","4th"
"1738","Side Pocket","Iguana Entertainment","Data East","Japan","March 18, 1994",1994-03-18,3,1994,"SNES","4th"
"1739","Side Pocket","Iguana Entertainment","Data East","North_America","December 1993",NA,12,1993,"SNES","4th"
"1740","Side Pocket","Iguana Entertainment","Data East","PAL","1994",NA,NA,1994,"SNES","4th"
"1741","Silva Saga II: The Legend of Light and Darkness","SETA","SETA","Japan","June 25, 1993",1993-06-25,6,1993,"SNES","4th"
"1742","SimAnt","Tomcat System","Maxis","Japan","February 26, 1993",1993-02-26,2,1993,"SNES","4th"
"1743","SimAnt","Tomcat System","Maxis","North_America","October 1993",NA,10,1993,"SNES","4th"
"1744","SimCity","Nintendo/Maxis","Nintendo","Japan","April 26, 1991",1991-04-26,4,1991,"SNES","4th"
"1745","SimCity","Nintendo/Maxis","Nintendo","North_America","August 23, 1991",1991-08-23,8,1991,"SNES","4th"
"1746","SimCity","Nintendo/Maxis","Nintendo","PAL","September 24, 1992",1992-09-24,9,1992,"SNES","4th"
"1747","SimCity 2000","THQ","Black Pearl Software","Japan","May 26, 1995",1995-05-26,5,1995,"SNES","4th"
"1748","SimCity 2000","THQ","Black Pearl Software","North_America","November 1996",NA,11,1996,"SNES","4th"
"1749","SimCity 2000","THQ","Black Pearl Software","PAL","December 19, 1996",1996-12-19,12,1996,"SNES","4th"
"1750","SimCity Jr.",NA,"Imagineer","Japan","July 26, 1996",1996-07-26,7,1996,"SNES","4th"
"1751","SimEarth / SimEarth: The Living Planet (JP)","Tomcat System","FCI","Japan","December 29, 1991",1991-12-29,12,1991,"SNES","4th"
"1752","SimEarth / SimEarth: The Living Planet (JP)","Tomcat System","FCI","North_America","February 1993",NA,2,1993,"SNES","4th"
"1753","Simulation Pro Yakyuu","Hect","Hect","Japan","April 28, 1995",1995-04-28,4,1995,"SNES","4th"
"1754","Sink or Swim","Zeppelin Games","Titus Software","North_America","January 31, 1996",1996-01-31,1,1996,"SNES","4th"
"1755","Sink or Swim","Zeppelin Games","Titus Software","PAL","December 31, 1994",1994-12-31,12,1994,"SNES","4th"
"1756","Sküljagger: Revolt of the Westicans","Realtime Associates","American Softworks","North_America","October 1, 1992",1992-10-01,10,1992,"SNES","4th"
"1757","Skyblazer / Karura Ou (JP)","Ukiyotei","Sony Imagesoft","Japan","February 18, 1994",1994-02-18,2,1994,"SNES","4th"
"1758","Skyblazer / Karura Ou (JP)","Ukiyotei","Sony Imagesoft","North_America","January 1994",NA,1,1994,"SNES","4th"
"1759","Skyblazer / Karura Ou (JP)","Ukiyotei","Sony Imagesoft","PAL","March 25, 1994",1994-03-25,3,1994,"SNES","4th"
"1760","Slayers","BEC","Banpresto","Japan","June 24, 1994",1994-06-24,6,1994,"SNES","4th"
